#Table1
objID,ra,dec,psfmag_r
1237680117417050209,346.553837321481,-4.99060655162668,17.31999
1237680117417115718,346.619034899828,-5.15566370159478,16.83492
1237680065348435981,346.683673062377,-5.20189469258183,13.83563
1237680065348370619,346.55261955981,-5.17331502073102,18.70206
1237680117417050277,346.553182849567,-5.05932843196962,19.29605
1237680117417050218,346.553591362744,-5.13706039705918,17.89131
1237680065885241442,346.620864307282,-4.88333862186096,15.67305
1237680117417115716,346.621453291424,-5.03980683163448,18.50508
1237680117417115668,346.685751614287,-5.16856019141193,15.41818
1237680117417115838,346.685963681445,-5.02343681066124,19.44827
1237680117417115766,346.686308374636,-5.10544055483236,18.07305
1237680117417115824,346.68649982095,-5.07089888067592,19.40097
1237680065885306973,346.686886754021,-4.90311595997079,16.96346
1237680117417115832,346.75364190654,-4.98285862785806,19.00371
1237680065348370632,346.610664360652,-5.17482780621568,18.64094
1237680117417115764,346.681321151126,-5.08422501606354,17.85056
1237680065885307003,346.749301784928,-4.90173802547538,16.9646
1237680117417115830,346.749623685097,-5.0144980033975,19.18661
1237680065348436150,346.749771553323,-5.20311877619589,18.85398
1237680117417050169,346.493075776849,-5.12529880469175,19.18043
1237680117417050263,346.505718387185,-5.10176530403947,19.39542
1237680117417050178,346.505840988578,-5.11184668071504,17.80775
1237680065885241374,346.578875556979,-4.91139581435084,15.9624
1237680065885307060,346.758525418945,-4.943885530462,19.58199
1237680065885307005,346.759035664125,-4.87648177620466,17.21329
1237680117417050134,346.593388271942,-5.1599286427469,18.96118
1237680117417050133,346.594417065447,-5.16109239237653,14.06947
1237680117417115660,346.671623471366,-5.08609666110864,13.93794
1237680065885306906,346.671678514476,-4.87701703083972,15.88795
1237680117417115796,346.755800835609,-5.04247629647116,18.36852
1237680065885307059,346.756563338631,-4.90478398075986,19.30016
1237680117417050266,346.509715382898,-5.02357441643529,18.84495
1237680065348436057,346.637144633362,-5.20260746371183,17.60942
1237680065885306984,346.703482114353,-4.91211382650237,18.62383
1237680065885306987,346.703807010166,-4.93958232811423,18.07325
1237680117417050260,346.486270658989,-4.96293906290961,19.25623
1237680117417050176,346.50107999883,-5.09246459161178,17.92327
